Имя;Скайп;Гарнитура;Тип подключения;Звук;Камера;Скорость инета/пинг;Дата старта;Кто сделал
123;live:.cid.ea8a9b04bdf7055;USB;;USB;;;;Андрей Кравцов
Андрей Кравцов;live:.cid.ea8a9b04bdf7055;;;;;;;Андрей Кравцов
Andreu;live:.rehiow;USB;;USB;;;;Андрей Кравцов
Андрей;live:.cid.e59a33078237ca8;;;;;;;Андрей Кравцов
yan cho;live:.rehiow;USB;;USB;True;;2024-11-22;Андрей Кравцов
Андрей;live:.cid.ea8a9b04bdf7055;3.5;;3.5;True;;2024-11-21;Андрей Кравцов
Андрей;live:.cid.ea8a9b04bdf7055;3.5;;3.5;True;;2024-11-15;Андрей Кравцов
Андрей;live:.cid.ea8a9b04bdf7055;USB;wi-fi;USB;True;;2024-12-06;Андрей Кравцов
уеноуеоу;уеноуеноу;USB;wi-fi;USB;True;;2024-12-05;Андрей Кравцов
Андрей;live:ghbrjy.anna;USB;wi-fi;USB;True;тестирую спид тест;2024-12-02;Андрей Кравцов
TESTONE;live:.rehiow;USB;cable;USB;True;ок;2024-12-05;Андрей Кравцов
Тестер;live:.rehiow;;;;;;;Андрей Кравцов
Кравцов Андрей Владимирович;live:.cid.d499831ee3071a5a;;;;;;;Андрей Кравцов
